akc_id	name	description	type	TRA_chain	TRB_chain
iedb_receptor:20833			AlphaBetaTCR	iedb_receptor:20833-alpha	iedb_receptor:20833-beta
iedb_receptor:20834			AlphaBetaTCR	iedb_receptor:20834-alpha	iedb_receptor:20834-beta
iedb_receptor:20835			AlphaBetaTCR	iedb_receptor:20835-alpha	iedb_receptor:20835-beta
iedb_receptor:20836			AlphaBetaTCR	iedb_receptor:20836-alpha	iedb_receptor:20836-beta
iedb_receptor:20837			AlphaBetaTCR	iedb_receptor:20837-alpha	iedb_receptor:20837-beta
iedb_receptor:20838			AlphaBetaTCR	iedb_receptor:20838-alpha	iedb_receptor:20838-beta
iedb_receptor:20839			AlphaBetaTCR	iedb_receptor:20839-alpha	iedb_receptor:20839-beta
iedb_receptor:20840			AlphaBetaTCR	iedb_receptor:20840-alpha	iedb_receptor:20840-beta
iedb_receptor:21482			AlphaBetaTCR		iedb_receptor:21482-beta
iedb_receptor:21483			AlphaBetaTCR		iedb_receptor:21483-beta
iedb_receptor:21484			AlphaBetaTCR		iedb_receptor:21484-beta
iedb_receptor:21485			AlphaBetaTCR		iedb_receptor:21485-beta
iedb_receptor:21486			AlphaBetaTCR		iedb_receptor:21486-beta
iedb_receptor:21487			AlphaBetaTCR		iedb_receptor:21487-beta
iedb_receptor:21488			AlphaBetaTCR		iedb_receptor:21488-beta
iedb_receptor:21489			AlphaBetaTCR		iedb_receptor:21489-beta
iedb_receptor:21490			AlphaBetaTCR		iedb_receptor:21490-beta
iedb_receptor:21491			AlphaBetaTCR		iedb_receptor:21491-beta
iedb_receptor:21492			AlphaBetaTCR		iedb_receptor:21492-beta
iedb_receptor:21493			AlphaBetaTCR		iedb_receptor:21493-beta
iedb_receptor:21494			AlphaBetaTCR		iedb_receptor:21494-beta
iedb_receptor:21495			AlphaBetaTCR		iedb_receptor:21495-beta
iedb_receptor:21496			AlphaBetaTCR		iedb_receptor:21496-beta
iedb_receptor:21497			AlphaBetaTCR		iedb_receptor:21497-beta
iedb_receptor:21498			AlphaBetaTCR		iedb_receptor:21498-beta
iedb_receptor:21499			AlphaBetaTCR		iedb_receptor:21499-beta
iedb_receptor:21500			AlphaBetaTCR		iedb_receptor:21500-beta
iedb_receptor:21501			AlphaBetaTCR		iedb_receptor:21501-beta
iedb_receptor:21502			AlphaBetaTCR		iedb_receptor:21502-beta
